source_file,ASPE,AspectCoverage (C),SentimentCoverage (Cs),CASE,CommentsUsed,StartFrom,EndAt,round,dataset,start_from,window_length,aspect_no,user_window_size,strategy,strategy_budget,mitigation_ratio
ds2_a1_w30_sadd_b11_r1.0_base100.csv,2.0503,0.2308,1,1.3046,100,900,999,1,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,2.0032,0.2577,0.6667,1.1801,150,900,1049,2,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.9522,0.3039,0.3333,1.0175,200,900,1099,3,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.8826,0.3308,0.3333,0.9992,250,900,1149,4,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.8037,0.3423,0.3333,0.9642,300,900,1199,5,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.7302,0.3654,0.3333,0.9385,350,900,1249,6,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.6581,0.3692,0.3333,0.9019,400,900,1299,7,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.5916,0.3808,0.3333,0.8718,450,900,1349,8,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.5275,0.3885,0.3333,0.8405,500,900,1399,9,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.4691,0.3962,0.3333,0.8117,550,900,1449,10,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.4169,0.4038,0.3333,0.7863,600,900,1499,11,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.3692,0.4115,0.3333,0.7633,650,900,1549,12,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.3256,0.4192,0.3333,0.7421,700,900,1599,13,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.2837,0.4308,0.3333,0.723,750,900,1649,14,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.2439,0.4346,0.3333,0.702,800,900,1699,15,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.2081,0.4462,0.3333,0.6862,850,900,1749,16,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.1725,0.45,0.3333,0.6672,900,900,1799,17,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.1398,0.4538,0.3333,0.6499,950,900,1849,18,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.1095,0.4615,0.3333,0.6353,1000,900,1899,19,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.0806,0.4654,0.3333,0.62,1050,900,1949,20,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.0532,0.4654,0.3333,0.6042,1100,900,1999,21,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.029,0.4731,0.3333,0.5928,1150,900,2049,22,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,1.0061,0.4846,0.3333,0.583,1200,900,2099,23,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.9841,0.4962,0.3333,0.5738,1250,900,2149,24,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.9625,0.5,0.3333,0.5622,1300,900,2199,25,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.9419,0.5,0.3333,0.5502,1350,900,2249,26,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.9216,0.5039,0.3333,0.5394,1400,900,2299,27,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.903,0.5077,0.3333,0.5297,1450,900,2349,28,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.8858,0.5154,0.3333,0.5216,1500,900,2399,29,2,900,100,1,30,add,11,1
ds2_a1_w30_sadd_b11_r1.0_base100.csv,0.8691,0.5269,0.3333,0.5146,1550,900,2449,30,2,900,100,1,30,add,11,1
