dataset,strategy,budget,avg_ASPE,avg_CASE
2,No,1,0.7146,0.3682
2,No,3,0.7146,0.3682
2,No,5,0.7146,0.3682
2,No,7,0.7146,0.3682
2,No,9,0.7146,0.3682
2,No,11,0.7146,0.3682
2,No,13,0.7146,0.3682
2,No,15,0.7146,0.3682
2,add,1,0.7269,0.3898
2,add,3,0.7426,0.4129
2,add,5,0.7649,0.4287
2,add,7,0.7798,0.4485
2,add,9,0.7766,0.4513
2,add,11,0.7937,0.4733
2,add,13,0.8104,0.4917
2,add,15,0.807,0.4905
2,remove,1,0.7541,0.3929
2,remove,3,0.7905,0.4176
2,remove,5,0.8362,0.4401
2,remove,7,0.9597,0.517
2,remove,9,1.1369,0.6328
2,remove,11,1.3805,0.8033
2,remove,13,1.4654,0.8573
2,remove,15,1.6733,0.9967
2,update,1,0.756,0.413
2,update,3,0.7954,0.4353
2,update,5,0.902,0.5233
2,update,7,1.058,0.6501
2,update,9,1.3476,0.8765
2,update,11,1.6509,1.1153
2,update,13,1.7385,1.1937
2,update,15,1.8031,1.2374
2,hybrid,1,0.7386,0.3955
2,hybrid,3,0.7822,0.4239
2,hybrid,5,0.7991,0.4291
2,hybrid,7,0.8026,0.438
2,hybrid,9,0.8135,0.4539
2,hybrid,11,0.8344,0.4803
2,hybrid,13,0.8248,0.4755
2,hybrid,15,0.8454,0.4927
2,summarize,1,0.7701,0.4076
2,summarize,3,0.7801,0.4052
2,summarize,5,0.8321,0.4334
2,summarize,7,0.8982,0.4774
2,summarize,9,1.0251,0.538
2,summarize,11,0.9984,0.5291
2,summarize,13,0.9897,0.5218
2,summarize,15,1.0318,0.5404
6,No,1,0.834,0.4921
6,No,3,0.834,0.4921
6,No,5,0.834,0.4921
6,No,7,0.834,0.4921
6,No,9,0.834,0.4921
6,No,11,0.834,0.4921
6,No,13,0.834,0.4921
6,No,15,0.834,0.4921
6,add,1,1.0714,0.6603
6,add,3,1.096,0.6787
6,add,5,1.125,0.7426
6,add,7,1.1002,0.7402
6,add,9,1.2089,0.8468
6,add,11,1.138,0.7794
6,add,13,1.0901,0.725
6,add,15,1.0878,0.731
6,remove,1,1.1452,0.7193
6,remove,3,1.2198,0.7751
6,remove,5,1.5097,1.0235
6,remove,7,1.6328,1.1179
6,remove,9,1.6027,1.0938
6,remove,11,1.732,1.2032
6,remove,13,1.7549,1.2635
6,remove,15,1.8049,1.3215
6,update,1,1.1527,0.7261
6,update,3,1.3182,0.8781
6,update,5,1.5238,1.0984
6,update,7,1.6528,1.2451
6,update,9,1.6863,1.2881
6,update,11,1.86,1.5166
6,update,13,2.0633,1.7381
6,update,15,2.2744,1.9449
6,hybrid,1,1.1702,0.7391
6,hybrid,3,1.2698,0.8406
6,hybrid,5,1.279,0.8318
6,hybrid,7,1.245,0.8257
6,hybrid,9,1.2991,0.8741
6,hybrid,11,1.3423,0.8939
6,hybrid,13,1.3816,0.9589
6,hybrid,15,1.4109,1.0171
6,summarize,1,1.1777,0.7474
6,summarize,3,1.3676,0.8717
6,summarize,5,1.4615,0.9633
6,summarize,7,1.4125,0.9199
6,summarize,9,1.3694,0.8733
6,summarize,11,1.405,0.9118
6,summarize,13,1.4797,0.974
6,summarize,15,1.3954,0.8861
7,No,1,0.9444,0.5524
7,No,3,0.9444,0.5524
7,No,5,0.9444,0.5524
7,No,7,0.9444,0.5524
7,No,9,0.9444,0.5524
7,No,11,0.9444,0.5524
7,No,13,0.9444,0.5524
7,No,15,0.9444,0.5524
7,add,1,1.1762,0.7584
7,add,3,1.2146,0.7992
7,add,5,1.2242,0.8325
7,add,7,1.2749,0.8941
7,add,9,1.238,0.8735
7,add,11,1.2103,0.8431
7,add,13,1.3466,1.0027
7,add,15,1.3407,0.997
7,remove,1,1.1916,0.7625
7,remove,3,1.3313,0.8779
7,remove,5,1.4392,0.9451
7,remove,7,1.5443,1.0441
7,remove,9,1.662,1.1499
7,remove,11,1.7199,1.1765
7,remove,13,1.912,1.3908
7,remove,15,2.0607,1.5247
7,update,1,1.197,0.7572
7,update,3,1.3759,0.9529
7,update,5,1.5276,1.098
7,update,7,1.6016,1.2105
7,update,9,1.7748,1.4103
7,update,11,2.0138,1.6814
7,update,13,2.3537,2.0244
7,update,15,2.5929,2.3576
7,hybrid,1,1.2154,0.7904
7,hybrid,3,1.2299,0.7992
7,hybrid,5,1.3142,0.8554
7,hybrid,7,1.2571,0.832
7,hybrid,9,1.3676,0.9372
7,hybrid,11,1.3644,0.918
7,hybrid,13,1.3853,0.9679
7,hybrid,15,1.4337,1.0404
7,summarize,1,1.263,0.8141
7,summarize,3,1.2986,0.8237
7,summarize,5,1.2943,0.8207
7,summarize,7,1.2775,0.8307
7,summarize,9,1.3798,0.9152
7,summarize,11,1.5604,1.069
7,summarize,13,1.5967,1.0829
7,summarize,15,1.5902,1.1037
